date	quotation
14-Nov-17	55216
15-Nov-17	57378
16-Nov-17	60952
17-Nov-17	65962
18-Nov-17	73218
19-Nov-17	73218
20-Nov-17	73218
21-Nov-17	81271
22-Nov-17	84372
23-Nov-17	82363
24-Nov-17	81759
25-Nov-17	82185
26-Nov-17	82185
27-Nov-17	82185
28-Nov-17	84457
29-Nov-17	88235
30-Nov-17	96794
1-Dec-17	97192
2-Dec-17	103024
3-Dec-17	103024
4-Dec-17	103024
5-Dec-17	108279
6-Dec-17	103190
7-Dec-17	98609
8-Dec-17	95440
9-Dec-17	92778
10-Dec-17	92778
11-Dec-17	92778
12-Dec-17	92778
13-Dec-17	96396
14-Dec-17	102276
15-Dec-17	103555
16-Dec-17	108198
17-Dec-17	108198
18-Dec-17	108198
19-Dec-17	115734
20-Dec-17	124190
21-Dec-17	121205
22-Dec-17	115265
23-Dec-17	112268
24-Dec-17	112268
25-Dec-17	112268
26-Dec-17	112268
27-Dec-17	112137
28-Dec-17	106924
29-Dec-17	107128
30-Dec-17	111413
31-Dec-17	111413
1-Jan-18	111413
2-Jan-18	111413
3-Jan-18	119779
4-Jan-18	123110
5-Jan-18	128446
6-Jan-18	136582
7-Jan-18	136582
8-Jan-18	136582
9-Jan-18	143274
10-Jan-18	151496
11-Jan-18	157541
12-Jan-18	168469
13-Jan-18	178546
14-Jan-18	178546
15-Jan-18	178546
16-Jan-18	182492
17-Jan-18	182492
18-Jan-18	194026
19-Jan-18	201787
20-Jan-18	211337
21-Jan-18	211337
22-Jan-18	211337
23-Jan-18	211337
24-Jan-18	241664
25-Jan-18	261517
26-Jan-18	263803
27-Jan-18	266630
28-Jan-18	266630
29-Jan-18	266630
30-Jan-18	255900
31-Jan-18	249872
1-Feb-18    235782
2-Feb-18    227921
3-Feb-18    224954
4-Feb-18    224954
5-Feb-18    224954
6-Feb-18    227901
7-Feb-18    233531
8-Feb-18    232902
9-Feb-18    236402
10-Feb-18   236854
11-Feb-18   236854
12-Feb-18   236854
13-Feb-18   236854
14-Feb-18   236854
15-Feb-18	238038
